phase,type_bytes,trans_b,M,N,K,bm,bn,wt_m,wt_n,swizzle,split_k,bk,threads,tile_n
Wmma,2,1,4096,4096,4096,128,256,4,2,8,1,32,0,0
Wmma,2,1,2048,4096,4096,128,256,4,2,8,1,32,0,0
Wmma,2,1,1024,4096,4096,128,128,2,4,8,1,32,0,0
Wmma,2,1,4096,8192,8192,128,256,4,2,8,1,32,0,0
Wmma,2,1,2048,8192,8192,128,256,4,2,8,1,32,0,0
Wmma,2,1,1024,8192,8192,128,256,4,2,8,1,32,0,0
Wmma,2,1,1024,4096,14336,128,256,4,2,8,1,32,0,0
Wmma,2,1,2048,1536,6144,128,128,2,2,4,1,32,0,0
Wmma,2,1,1024,2816,8192,128,128,2,2,4,1,32,0,0
Wmma,2,1,1024,3840,8192,128,128,2,2,4,1,32,0,0
Wmma,2,1,1024,6144,6144,256,128,4,2,8,1,32,0,0
Wmma,2,1,1024,5120,5120,256,128,4,2,8,1,32,0,0
